step,time_s,cmd_x,cmd_y,cmd_yaw,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,policy_action_raw_BL_coxa_joint,policy_action_raw_BR_coxa_joint,policy_action_raw_ML_coxa_joint,policy_action_raw_MR_coxa_joint,policy_action_raw_BL_femur_joint,policy_action_raw_BR_femur_joint,policy_action_raw_ML_femur_joint,policy_action_raw_MR_femur_joint,policy_action_raw_BL_tibia_joint,policy_action_raw_BR_tibia_joint,policy_action_raw_ML_tibia_joint,policy_action_raw_MR_tibia_joint,action_BL_coxa_joint,action_BR_coxa_joint,action_ML_coxa_joint,action_MR_coxa_joint,action_BL_femur_joint,action_BR_femur_joint,action_ML_femur_joint,action_MR_femur_joint,action_BL_tibia_joint,action_BR_tibia_joint,action_ML_tibia_joint,action_MR_tibia_joint,target_pos_rad_BL_coxa_joint,target_pos_rad_BR_coxa_joint,target_pos_rad_ML_coxa_joint,target_pos_rad_MR_coxa_joint,target_pos_rad_BL_femur_joint,target_pos_rad_BR_femur_joint,target_pos_rad_ML_femur_joint,target_pos_rad_MR_femur_joint,target_pos_rad_BL_tibia_joint,target_pos_rad_BR_tibia_joint,target_pos_rad_ML_tibia_joint,target_pos_rad_MR_tibia_joint,actual_pos_rad_BL_coxa_joint,actual_pos_rad_BR_coxa_joint,actual_pos_rad_ML_coxa_joint,actual_pos_rad_MR_coxa_joint,actual_pos_rad_BL_femur_joint,actual_pos_rad_BR_femur_joint,actual_pos_rad_ML_femur_joint,actual_pos_rad_MR_femur_joint,actual_pos_rad_BL_tibia_joint,actual_pos_rad_BR_tibia_joint,actual_pos_rad_ML_tibia_joint,actual_pos_rad_MR_tibia_joint,actual_vel_radps_BL_coxa_joint,actual_vel_radps_BR_coxa_joint,actual_vel_radps_ML_coxa_joint,actual_vel_radps_MR_coxa_joint,actual_vel_radps_BL_femur_joint,actual_vel_radps_BR_femur_joint,actual_vel_radps_ML_femur_joint,actual_vel_radps_MR_femur_joint,actual_vel_radps_BL_tibia_joint,actual_vel_radps_BR_tibia_joint,actual_vel_radps_ML_tibia_joint,actual_vel_radps_MR_tibia_joint
0,0.0,0.0,0.30000001192092896,0.0,0.07353383302688599,0.5121924877166748,0.45197993516921997,0.044305309653282166,-0.008577068336308002,0.4564264118671417,1,1,1,1,-1.0894526243209839,-0.8443673849105835,-0.1726938784122467,-1.1383079290390015,-1.0005652904510498,-1.3177032470703125,-0.9494715929031372,-0.7830750346183777,-0.9523046612739563,-0.13757355511188507,0.12490958720445633,0.7314460277557373,-1.0,-0.8443673849105835,-0.1726938784122467,-1.0,-1.0,-1.0,-0.9494715929031372,-0.7830750346183777,-0.9523046612739563,-0.13757355511188507,0.12490958720445633,0.7314460277557373,-0.8490658402442932,-0.771249532699585,0.43725186586380005,0.023598790168762207,-0.9363323450088501,-0.9363323450088501,-0.9110680818557739,-0.8278698325157166,1.4437098503112793,1.8510754108428955,1.9823169708251953,2.2855851650238037,-0.3233937919139862,-0.4180954396724701,0.48164674639701843,0.4491788446903229,-0.520182728767395,-0.45819091796875,-0.4488188326358795,-0.5615772604942322,1.9160367250442505,1.9198365211486816,1.8987832069396973,2.003980875015259,-3.0001463890075684,-2.6187503337860107,-1.3444762229919434,-3.044250726699829,-3.000763416290283,-3.045586585998535,-3.2000057697296143,-2.999804973602295,-3.001478910446167,0.11910537630319595,2.4910924434661865,3.004849910736084
1,0.02,0.0,0.30000001192092896,0.0,0.006950210779905319,0.2872880697250366,0.3251849412918091,-0.22700050473213196,0.3317117691040039,0.4643530249595642,0,1,1,0,-1.2437708377838135,-0.1535540223121643,1.0638082027435303,0.9423491358757019,-2.1570632457733154,-1.4879275560379028,-1.4808729887008667,-1.5082255601882935,-0.05430988222360611,-0.09079787880182266,0.15996815264225006,-0.06032753735780716,-1.0,-0.1535540223121643,1.0,0.9423491358757019,-1.0,-1.0,-1.0,-1.0,-0.05430988222360611,-0.09079787880182266,0.15996815264225006,-0.06032753735780716,-0.8490658402442932,-0.42584285140037537,1.0235987901687622,0.9947733879089355,-0.9363323450088501,-0.9363323450088501,-0.9363323450088501,-0.9363323450088501,1.8927072286605835,1.8744632005691528,1.9998462200164795,1.8896983861923218,-0.3833952844142914,-0.4505220353603363,0.5024213790893555,0.4768489897251129,-0.5802507400512695,-0.5185621380805969,-0.5100733637809753,-0.6213548183441162,1.878275990486145,1.9252268075942993,1.948000431060791,2.0110678672790527,-2.999540090560913,-1.0626611709594727,2.998101234436035,3.004354476928711,-3.0032269954681396,-2.997358798980713,-2.999037265777588,-2.9941773414611816,-1.1702226400375366,-0.2281486690044403,2.4398021697998047,-1.3409700393676758
2,0.04,0.0,0.30000001192092896,0.0,-0.032426293939352036,0.24045871198177338,0.18778565526008606,-0.37940162420272827,0.4326568841934204,0.22844909131526947,0,0,0,0,-0.7305533289909363,0.09878602623939514,0.3582046329975128,1.5100146532058716,-2.657851219177246,-0.10028555244207382,-0.04691419005393982,-0.8259685635566711,0.8363436460494995,0.3955957591533661,-0.10606102645397186,-0.6452104449272156,-0.7305533289909363,0.09878602623939514,0.3582046329975128,1.0,-1.0,-0.10028555244207382,-0.04691419005393982,-0.8259685635566711,0.8363436460494995,0.3955957591533661,-0.10606102645397186,-0.6452104449272156,-0.714342474937439,-0.29967284202575684,0.7027010917663574,1.0235987901687622,-0.9363323450088501,-0.4864750802516937,-0.4597893953323364,-0.8493165969848633,2.33803391456604,2.1176600456237793,1.866831660270691,1.5972568988800049,-0.44336235523223877,-0.4412986636161804,0.5623213052749634,0.5371718406677246,-0.640442967414856,-0.5555188059806824,-0.5419326424598694,-0.68116295337677,1.9280139207839966,1.9654773473739624,1.957312822341919,1.952576994895935,-3.0002145767211914,1.5474560260772705,2.9953906536102295,3.0106313228607178,-3.000023126602173,-0.8662013411521912,-0.49984011054039,-2.9942708015441895,3.0004265308380127,3.0003132820129395,-0.8932138085365295,-3.00189208984375
3,0.06,0.0,0.30000001192092896,0.0,-0.06524290144443512,0.20864978432655334,-0.031657539308071136,-0.23171266913414001,0.023321976885199547,0.12323422729969025,0,0,0,0,-0.45102521777153015,0.5694780349731445,1.3808627128601074,1.3656671047210693,-1.3619365692138672,-0.6547693014144897,-1.0194379091262817,-0.3361322283744812,1.14637291431427,1.2842538356781006,-0.657712996006012,-0.4166748821735382,-0.45102521777153015,0.5694780349731445,1.0,1.0,-1.0,-0.6547693014144897,-1.0,-0.3361322283744812,1.0,1.0,-0.657712996006012,-0.4166748821735382,-0.5745784640312195,-0.06432682275772095,1.0235987901687622,1.0235987901687622,-0.9363323450088501,-0.7637169361114502,-0.9363323450088501,-0.6043984293937683,2.4198622703552246,2.4198622703552246,1.5910056829452515,1.7115247249603271,-0.503351628780365,-0.3840118646621704,0.6222599148750305,0.5973398685455322,-0.7004496455192566,-0.6011095643043518,-0.5948958992958069,-0.7068250775337219,1.9880234003067017,2.025489091873169,1.900839924812317,1.8925520181655884,-2.9964702129364014,2.9990365505218506,3.000440835952759,2.999959945678711,-3.0001165866851807,-3.0000696182250977,-2.9984066486358643,-0.05356317758560181,3.000446319580078,3.0004501342773438,-3.000340700149536,-3.000121831893921
4,0.08,0.0,0.30000001192092896,0.0,-0.02161656692624092,0.19224795699119568,-0.061376143246889114,-0.5936335921287537,-0.3383690118789673,0.3640562891960144,0,0,0,0,-0.1304812878370285,0.7057919502258301,1.5626311302185059,1.2901227474212646,-0.4941770136356354,0.700827419757843,-0.06452973186969757,-0.060415320098400116,1.1230169534683228,1.477626085281372,-0.8496171832084656,-0.030781328678131104,-0.1304812878370285,0.7057919502258301,1.0,1.0,-0.4941770136356354,0.700827419757843,-0.06452973186969757,-0.060415320098400116,1.0,1.0,-0.8496171832084656,-0.030781328678131104,-0.41430649161338806,0.003830134868621826,1.0235987901687622,1.0235987901687622,-0.6834208369255066,-0.0859186053276062,-0.4685971736907959,-0.46653997898101807,2.4198622703552246,2.4198622703552246,1.4950535297393799,1.904471516609192,-0.5339425802230835,-0.32443803548812866,0.6824491024017334,0.6572003364562988,-0.7365060448646545,-0.5663849115371704,-0.6178138256072998,-0.6643463373184204,2.048032283782959,2.0855507850646973,1.8407608270645142,1.8575708866119385,-0.2358783483505249,2.9782941341400146,3.0080504417419434,3.002121925354004,-0.8327425718307495,2.995152473449707,0.4951019287109375,2.9751956462860107,3.000364303588867,3.0026564598083496,-3.002166748046875,-0.7277742624282837
5,0.1,0.0,0.30000001192092896,0.0,0.04810874164104462,0.1964809000492096,-0.17487508058547974,-0.7700918316841125,0.24709846079349518,0.5261366963386536,0,0,0,0,-0.15813827514648438,0.9702713489532471,0.9501748085021973,1.1250877380371094,0.41789671778678894,0.15234076976776123,0.45580655336380005,0.5787560343742371,0.5360350012779236,0.9270068407058716,-0.5595561861991882,0.14093488454818726,-0.15813827514648438,0.9702713489532471,0.9501748085021973,1.0,0.41789671778678894,0.15234076976776123,0.45580655336380005,0.5787560343742371,0.5360350012779236,0.9270068407058716,-0.5595561861991882,0.14093488454818726,-0.4281349778175354,0.13606983423233032,0.9986861944198608,1.0235987901687622,-0.22738395631313324,-0.3601619303226471,-0.20842903852462769,-0.14695429801940918,2.1878795623779297,2.3833656311035156,1.6400840282440186,1.990329623222351,-0.5179129242897034,-0.2648058831691742,0.742458701133728,0.7172513008117676,-0.6867311000823975,-0.5064120292663574,-0.5633447766304016,-0.6049900054931641,2.1080336570739746,2.1455788612365723,1.780747413635254,1.8789894580841064,1.463832974433899,2.992567300796509,3.0044939517974854,2.999861717224121,3.0002472400665283,2.9974796772003174,3.002145528793335,2.9952783584594727,3.0000078678131104,3.0013492107391357,-3.001007318496704,2.224773645401001
6,0.12,0.0,0.30000001192092896,0.0,0.08000976592302322,0.16378100216388702,-0.19484637677669525,-0.5233280062675476,-2.2054576873779297,0.38625678420066833,0,0,0,1,-0.09479162096977234,1.2483396530151367,0.7483817934989929,1.265416145324707,1.0745058059692383,0.08304036408662796,1.0902684926986694,1.2236285209655762,0.005678466521203518,0.540327787399292,-0.5692402720451355,0.18466266989707947,-0.09479162096977234,1.0,0.7483817934989929,1.0,1.0,0.08304036408662796,1.0,1.0,0.005678466521203518,0.540327787399292,-0.5692402720451355,0.18466266989707947,-0.3964616656303406,0.1509341597557068,0.897789716720581,1.0235987901687622,0.06366768479347229,-0.39481213688850403,0.06366768479347229,0.06366768479347229,1.922701358795166,2.190026044845581,1.635241985321045,2.012193441390991,-0.4784163534641266,-0.2050866186618805,0.8022420406341553,0.7571882009506226,-0.6265494227409363,-0.44640621542930603,-0.5030378699302673,-0.561974287033081,2.100505828857422,2.1922974586486816,1.7207611799240112,1.9189332723617554,2.0750057697296143,2.986679792404175,2.9979798793792725,0.29113733768463135,3.005772352218628,3.0019371509552,3.0279979705810547,0.9008495211601257,-2.6430861949920654,1.697774887084961,-2.998826742172241,1.9904457330703735
7,0.14,0.0,0.30000001192092896,0.0,0.08373719453811646,0.22576074302196503,0.09744983166456223,1.333211898803711,-0.260843962430954,0.3118453025817871,0,0,1,1,-0.9002992510795593,1.398280143737793,0.5113941431045532,0.0357787162065506,2.187145233154297,-0.6093625426292419,1.4274283647537231,2.4083704948425293,-0.3042834401130676,-0.24604961276054382,-0.045322950929403305,0.41494011878967285,-0.9002992510795593,1.0,0.5113941431045532,0.0357787162065506,1.0,-0.6093625426292419,1.0,1.0,-0.3042834401130676,-0.24604961276054382,-0.045322950929403305,0.41494011878967285,-0.7992154359817505,0.1509341597557068,0.7792958617210388,0.5414881706237793,0.06366768479347229,-0.7410135865211487,0.06366768479347229,0.06366768479347229,1.7677204608917236,1.796837329864502,1.8972007036209106,2.1273322105407715,-0.4901682138442993,-0.14436796307563782,0.7918196320533752,0.7418643236160278,-0.5665313005447388,-0.46881893277168274,-0.5043280720710754,-0.5423254370689392,2.0405008792877197,2.1481003761291504,1.7209299802780151,1.9373574256896973,-2.901559829711914,3.0308282375335693,-0.9028486013412476,-1.3476779460906982,3.0000336170196533,-2.9905545711517334,1.26140296459198,2.0070176124572754,-3.0002589225769043,-3.0059919357299805,0.020951200276613235,0.5253769159317017
8,0.16,0.0,0.30000001192092896,0.0,-0.12580277025699615,0.180731862783432,0.4083523750305176,0.5899254083633423,-0.23090797662734985,-0.04133117198944092,0,1,1,1,-0.4005223214626312,1.4511470794677734,0.9245889782905579,0.465223491191864,1.7876687049865723,1.1874326467514038,1.2909080982208252,1.6841239929199219,0.025896333158016205,-0.7175824046134949,0.32911229133605957,-0.010410360991954803,-0.4005223214626312,1.0,0.9245889782905579,0.465223491191864,1.0,1.0,1.0,1.0,0.025896333158016205,-0.7175824046134949,0.32911229133605957,-0.010410360991954803,-0.54932701587677,0.1509341597557068,0.9858932495117188,0.7562105655670166,0.06366768479347229,0.06366768479347229,0.06366768479347229,0.06366768479347229,1.9328103065490723,1.5610709190368652,2.084418296813965,1.9146569967269897,-0.5451529026031494,-0.0925024226307869,0.7788242697715759,0.7087936401367188,-0.5065297484397888,-0.436847060918808,-0.4697125554084778,-0.4876630902290344,1.9816168546676636,2.0909953117370605,1.7245374917984009,1.9298309087753296,-2.937267780303955,-0.4892084002494812,-0.5149915814399719,-1.124527096748352,2.999281167984009,1.4409265518188477,1.7773561477661133,3.021724224090576,-2.6922969818115234,-2.2116241455078125,-0.026833444833755493,-1.849147915840149
9,0.18,0.0,0.30000001192092896,0.0,-0.044710494577884674,0.2260364294052124,0.5244653224945068,-0.16548782587051392,0.2988632619380951,0.23789669573307037,0,1,1,0,0.34866073727607727,0.2752149701118469,0.33010798692703247,0.9425796270370483,0.17541995644569397,1.8301149606704712,1.6045939922332764,-0.8133382797241211,0.7470455169677734,-0.2694214880466461,0.15240761637687683,-0.7495889067649841,0.34866073727607727,0.2752149701118469,0.33010798692703247,0.9425796270370483,0.17541995644569397,1.0,1.0,-0.8133382797241211,0.7470455169677734,-0.2694214880466461,0.15240761637687683,-0.7495889067649841,-0.17473547160625458,-0.21145835518836975,0.688652753829956,0.9948886036872864,-0.34862232208251953,0.06366768479347229,0.06366768479347229,-0.8430014848709106,2.2933850288391113,1.7851513624191284,1.9960659742355347,1.5450676679611206,-0.5342832207679749,-0.11079929769039154,0.7748269438743591,0.7286155223846436,-0.44675907492637634,-0.38345417380332947,-0.4219193756580353,-0.5025283098220825,2.0132625102996826,2.03668475151062,1.7188546657562256,1.8706201314926147,2.9996135234832764,-1.035869836807251,-0.11181215941905975,2.584393262863159,3.0001134872436523,2.9483931064605713,2.704817295074463,-2.993971109390259,3.000272512435913,-2.847224712371826,0.11218194663524628,-2.9991090297698975
