step,time_s,cmd_x,cmd_y,cmd_yaw,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,action_BL_coxa_joint,action_BR_coxa_joint,action_ML_coxa_joint,action_MR_coxa_joint,action_BL_femur_joint,action_BR_femur_joint,action_ML_femur_joint,action_MR_femur_joint,action_BL_tibia_joint,action_BR_tibia_joint,action_ML_tibia_joint,action_MR_tibia_joint,target_pos_rad_BL_coxa_joint,target_pos_rad_BR_coxa_joint,target_pos_rad_ML_coxa_joint,target_pos_rad_MR_coxa_joint,target_pos_rad_BL_femur_joint,target_pos_rad_BR_femur_joint,target_pos_rad_ML_femur_joint,target_pos_rad_MR_femur_joint,target_pos_rad_BL_tibia_joint,target_pos_rad_BR_tibia_joint,target_pos_rad_ML_tibia_joint,target_pos_rad_MR_tibia_joint,actual_pos_rad_BL_coxa_joint,actual_pos_rad_BR_coxa_joint,actual_pos_rad_ML_coxa_joint,actual_pos_rad_MR_coxa_joint,actual_pos_rad_BL_femur_joint,actual_pos_rad_BR_femur_joint,actual_pos_rad_ML_femur_joint,actual_pos_rad_MR_femur_joint,actual_pos_rad_BL_tibia_joint,actual_pos_rad_BR_tibia_joint,actual_pos_rad_ML_tibia_joint,actual_pos_rad_MR_tibia_joint,actual_vel_radps_BL_coxa_joint,actual_vel_radps_BR_coxa_joint,actual_vel_radps_ML_coxa_joint,actual_vel_radps_MR_coxa_joint,actual_vel_radps_BL_femur_joint,actual_vel_radps_BR_femur_joint,actual_vel_radps_ML_femur_joint,actual_vel_radps_MR_femur_joint,actual_vel_radps_BL_tibia_joint,actual_vel_radps_BR_tibia_joint,actual_vel_radps_ML_tibia_joint,actual_vel_radps_MR_tibia_joint
0,0.0,0.0,0.30000001192092896,0.0,0.029500426724553108,0.6470241546630859,0.4977377951145172,0.10896330326795578,-0.11798146367073059,0.37373435497283936,1,0,1,1,-1.0788825750350952,-0.9080857634544373,-0.2796458303928375,-1.1005061864852905,-0.8889584541320801,-1.2360751628875732,-0.9032005071640015,-0.7376686334609985,-0.9646497368812561,-0.1675495058298111,0.2976534068584442,0.5264502167701721,-0.8885071277618408,-0.8031086921691895,0.38377588987350464,-0.026654303073883057,-0.8808115720748901,-1.0543699264526367,-0.887932538986206,-0.8051666021347046,1.4375373125076294,1.8360873460769653,2.0686888694763184,2.1830873489379883,-0.32329845428466797,-0.3699396550655365,0.48380184173583984,0.4889494478702545,-0.4841408431529999,-0.4199691712856293,-0.49019962549209595,-0.4463694393634796,1.951296091079712,1.9337037801742554,1.9767378568649292,1.9043712615966797,-2.6901111602783203,-2.8883330821990967,-2.0168182849884033,-2.7608642578125,-2.8842480182647705,-3.0531721115112305,-3.161147356033325,-2.8826141357421875,-2.9605278968811035,-0.22071368992328644,2.6421637535095215,3.0603389739990234
1,0.02,0.0,0.30000001192092896,0.0,-0.07410599291324615,0.3267960250377655,0.3623791038990021,-0.062954381108284,-0.021694207563996315,-0.42090192437171936,0,1,0,1,-0.9153338074684143,0.2334047257900238,1.196601152420044,0.9515276551246643,-1.2721017599105835,-1.5309176445007324,-1.3550721406936646,-1.165637493133545,0.03805183619260788,0.03298831731081009,-0.06943145394325256,-0.27981552481651306,-0.8067327737808228,-0.2323634773492813,1.1218993663787842,0.999362587928772,-1.072383165359497,-1.2017911672592163,-1.1138683557510376,-1.0191510915756226,1.9388880729675293,1.9363563060760498,1.8851463794708252,1.779954433441162,-0.3830115497112274,-0.3889908492565155,0.5091220140457153,0.49360916018486023,-0.54399573802948,-0.4798433482646942,-0.5505617260932922,-0.5064833164215088,1.922199010848999,1.9376707077026367,1.9922959804534912,1.9298046827316284,-2.999518394470215,0.4245786666870117,2.9946000576019287,3.017881155014038,-3.0026395320892334,-2.999768018722534,-2.980180263519287,-3.0042457580566406,-0.7809542417526245,0.3528793156147003,-0.8130072355270386,-0.9006794095039368
2,0.04,0.0,0.30000001192092896,0.0,-0.04232901334762573,0.2995806336402893,0.17395098507404327,-0.09423135221004486,-0.0752410814166069,-0.20688919723033905,0,0,0,0,-0.04085499048233032,-0.13139986991882324,1.5858685970306396,0.7762945294380188,-1.4016473293304443,-0.3643040955066681,-0.9841899871826172,-0.3001822531223297,0.9389901161193848,1.51680326461792,-0.6682431697845459,-0.6050747036933899,-0.3694933354854584,-0.41476577520370483,1.316533088684082,0.9117460250854492,-1.1371560096740723,-0.618484377861023,-0.9284273386001587,-0.5864234566688538,2.389357089996338,2.6782636642456055,1.585740566253662,1.6173248291015625,-0.42329227924346924,-0.38773515820503235,0.5693522691726685,0.5534864068031311,-0.6041655540466309,-0.5400303602218628,-0.6104000210762024,-0.560962438583374,1.9739338159561157,1.9940546751022339,1.9353245496749878,1.874050498008728,-1.2183326482772827,-0.2468985766172409,3.010058641433716,2.9945051670074463,-3.0001230239868164,-3.0032718181610107,-2.996654510498047,-2.422511100769043,3.0004043579101562,3.0020689964294434,-3.0019848346710205,-2.998958110809326
3,0.06,0.0,0.30000001192092896,0.0,-0.020857295021414757,0.240791916847229,0.07037623971700668,-0.341696172952652,-0.783191978931427,0.05009760707616806,0,0,0,0,0.5534706711769104,0.10868129879236221,1.7395838499069214,1.3237727880477905,-0.9223394989967346,0.17174598574638367,-0.48609140515327454,-0.1194247379899025,0.953946053981781,2.0311832427978516,-1.0216013193130493,-0.7623286843299866,-0.07233050465583801,-0.2947251796722412,1.3933906555175781,1.1854851245880127,-0.897502064704895,-0.35045933723449707,-0.6793780326843262,-0.49604469537734985,2.3968350887298584,2.9354538917541504,1.4090614318847656,1.5386978387832642,-0.3901212215423584,-0.3810619115829468,0.6297758221626282,0.6133897304534912,-0.6641688346862793,-0.5440053939819336,-0.6664413213729858,-0.5788266658782959,2.0339410305023193,2.0541555881500244,1.87522292137146,1.8140801191329956,3.000143051147461,0.885166585445404,2.9982993602752686,3.0037662982940674,-3.0000598430633545,1.839347004890442,-2.500138759613037,0.22546404600143433,3.000332832336426,3.00057315826416,-3.000932216644287,-3.000795602798462
4,0.08,0.0,0.30000001192092896,0.0,-0.006238863337785006,0.22418376803398132,0.023845143616199493,-0.49155375361442566,-0.17450307309627533,-0.01054923515766859,0,0,0,0,0.5196502804756165,0.13570080697536469,1.4442511796951294,1.0787118673324585,-0.12796565890312195,0.050072140991687775,0.1980290710926056,0.3278016149997711,0.6542741656303406,1.6999876499176025,-0.8564311265945435,-0.7183791995048523,-0.08924070000648499,-0.2812154293060303,1.2457244396209717,1.0629546642303467,-0.5003151297569275,-0.4112962484359741,-0.3373177647590637,-0.27243149280548096,2.2469992637634277,2.7698559761047363,1.4916465282440186,1.5606725215911865,-0.33004188537597656,-0.352807879447937,0.6896025538444519,0.6735846996307373,-0.6722536683082581,-0.4941129982471466,-0.6430845856666565,-0.5321747660636902,2.093942403793335,2.114150285720825,1.8152415752410889,1.754013180732727,3.002986431121826,1.7221055030822754,2.9946095943450928,3.0014166831970215,1.4884827136993408,2.7990572452545166,3.011998414993286,2.987863063812256,3.0000855922698975,2.9999139308929443,-2.999345064163208,-3.0012946128845215
5,0.1,0.0,0.30000001192092896,0.0,-0.012102183885872364,0.21101154386997223,-0.17694640159606934,-0.4023345410823822,0.19170573353767395,-0.10431203991174698,0,0,0,0,0.8849167227745056,0.4154961109161377,1.5010182857513428,1.210254192352295,0.36256638169288635,-0.20082694292068481,-0.05766358971595764,0.8346838355064392,0.3953680694103241,1.3346600532531738,-0.7920835018157959,-0.4789074957370758,0.0933925211429596,-0.14131778478622437,1.2741079330444336,1.1287258863449097,-0.25504910945892334,-0.5367457866668701,-0.4651641249656677,-0.018990397453308105,2.1175460815429688,2.5871920585632324,1.523820400238037,1.6804083585739136,-0.2700252830982208,-0.29860955476760864,0.7495129704475403,0.7337602972984314,-0.6140254735946655,-0.46400782465934753,-0.582733154296875,-0.47252315282821655,2.134979724884033,2.1741549968719482,1.7552706003189087,1.699615716934204,2.9994375705718994,2.997927665710449,2.999318838119507,3.0021932125091553,3.0025784969329834,0.45684486627578735,3.0095112323760986,2.98801589012146,1.2733572721481323,3.0002150535583496,-2.999439001083374,-2.286137580871582
6,0.12,0.0,0.30000001192092896,0.0,-0.03185657039284706,0.19884221255779266,-0.22988031804561615,-0.4682649075984955,-1.526759147644043,-0.24208053946495056,0,0,0,1,0.972093403339386,0.6396244764328003,1.457365870475769,1.1951584815979004,1.040334701538086,0.2597905695438385,0.48796650767326355,1.2754613161087036,0.2570628821849823,1.1579033136367798,-0.7448933124542236,-0.2525879740715027,0.13698086142539978,-0.029253602027893066,1.252281665802002,1.1211780309677124,0.08383503556251526,-0.30643701553344727,-0.19234906136989594,0.2013983428478241,2.048393487930298,2.4988138675689697,1.5474154949188232,1.7935681343078613,-0.21003010869026184,-0.23868882656097412,0.8095327019691467,0.78077232837677,-0.5539398193359375,-0.425239235162735,-0.5230468511581421,-0.42181262373924255,2.1294801235198975,2.234163761138916,1.6952522993087769,1.6896458864212036,3.00148606300354,2.995054244995117,2.997354030609131,0.4649800658226013,3.002662181854248,2.999581813812256,3.017902135848999,0.8069825172424316,-1.3122879266738892,2.999666452407837,-2.9990503787994385,0.505376935005188
7,0.14,0.0,0.30000001192092896,0.0,0.06915245950222015,0.11617165803909302,0.02917858213186264,0.773374617099762,0.3795791566371918,0.5984994173049927,1,0,1,1,0.10260789096355438,1.2178099155426025,1.0840699672698975,0.03873899579048157,2.3222992420196533,-0.8350878357887268,0.8788690567016602,2.3815433979034424,-0.13732710480690002,0.3428792655467987,-0.4585212767124176,-0.03572646528482437,-0.2977618873119354,0.25983911752700806,1.065633773803711,0.5429682731628418,0.7248172760009766,-0.8538762331008911,0.003102213144302368,0.7544393539428711,1.8511985540390015,2.091301679611206,1.6906014680862427,1.9019988775253296,-0.16866165399551392,-0.17865459620952606,0.8181638717651367,0.769953191280365,-0.4945013225078583,-0.45606687664985657,-0.5084718465805054,-0.4208202064037323,2.073702573776245,2.238698959350586,1.689002275466919,1.7088608741760254,-0.047463059425354004,2.838338613510132,-0.017902523279190063,-1.446913242340088,2.477637767791748,-2.760887622833252,1.2435203790664673,0.1943303793668747,-2.127013683319092,-1.7262002229690552,0.1207999438047409,0.7398382425308228
8,0.16,0.0,0.30000001192092896,0.0,-0.055788639932870865,0.29826149344444275,0.40837007761001587,0.3235935866832733,0.635280191898346,0.030421147122979164,1,0,1,1,-0.35785940289497375,1.4888157844543457,0.9951314926147461,0.4891110062599182,1.8762089014053345,0.42964208126068115,1.3527401685714722,2.1664175987243652,-0.2847214341163635,-0.6372637152671814,0.016202790662646294,-0.09247749298810959,-0.5279955267906189,0.39534205198287964,1.0211645364761353,0.7681542634963989,0.5017721652984619,-0.22151127457618713,0.24003776907920837,0.6468764543533325,1.7775014638900757,1.601230263710022,1.9279634952545166,1.8736233711242676,-0.20003598928451538,-0.11812964826822281,0.8261898159980774,0.7430104613304138,-0.43867284059524536,-0.43986159563064575,-0.45601633191108704,-0.41632476449012756,2.0232975482940674,2.178640604019165,1.6995186805725098,1.7104606628417969,-2.937037944793701,3.0138094425201416,0.3600885272026062,-1.3354682922363281,2.963827610015869,2.9953720569610596,2.848132371902466,1.270970106124878,-2.9646072387695312,-3.0050413608551025,1.018454670906067,-0.5449165105819702
9,0.18,0.0,0.30000001192092896,0.0,-0.08169255405664444,0.2067229151725769,0.5537755489349365,0.2048196792602539,0.09758827835321426,0.017180239781737328,1,0,1,1,0.2957179844379425,1.5015501976013184,1.1712100505828857,0.7685110569000244,1.2480992078781128,0.3587905764579773,1.5828410387039185,2.1039257049560547,-0.31416693329811096,-0.4484879672527313,-0.34202930331230164,-0.6494377255439758,-0.20120684802532196,0.40170925855636597,1.109203815460205,0.9078543186187744,0.1877172887325287,-0.25693702697753906,0.3550882041454315,0.6156305074691772,1.762778639793396,1.6956181526184082,1.748847484588623,1.5951433181762695,-0.23160478472709656,-0.058550622314214706,0.8396652936935425,0.7212503552436829,-0.378913015127182,-0.37987300753593445,-0.39811602234840393,-0.36976563930511475,1.96989107131958,2.118621349334717,1.704503059387207,1.6837668418884277,-1.0354269742965698,2.9928884506225586,0.9439889788627625,-0.89699387550354,3.0084190368652344,2.9981179237365723,2.9132080078125,2.925801992416382,-3.0057249069213867,-2.9989242553710938,-0.06484305113554001,-1.7882014513015747
