step,time_s,root_x_w,root_y_w,root_z_w,root_vx_b,root_vy_b,root_vz_b,root_wx_b,root_wy_b,root_wz_b,roll_deg,pitch_deg,yaw_drift_deg,yaw_feedback_action,foot_contact_count,stride_ik_max_abs_action_delta,contact_BL_FOOT,contact_BR_FOOT,contact_ML_FOOT,contact_MR_FOOT,foot_xy_speed_BL_FOOT,foot_xy_speed_BR_FOOT,foot_xy_speed_ML_FOOT,foot_xy_speed_MR_FOOT
0,0.0,0.059089064598083496,-0.02058676816523075,0.15639735758304596,0.03755916655063629,0.546695351600647,0.25865086913108826,0.19004225730895996,-0.7247862219810486,0.48976996541023254,-0.06553623825311661,-0.34785670042037964,0.0,0.019989416003227234,3,0.030798912048339844,1,1,0,1,0.7390211224555969,0.1504131704568863,0.3718571066856384,0.10266941785812378
1,0.02,0.05235257372260094,-0.01635897532105446,0.15919379889965057,0.0020284652709960938,0.33264797925949097,0.05487344413995743,0.29429250955581665,-0.7071486711502075,0.24557344615459442,0.2327367663383484,-1.1655577421188354,0.3540496826171875,-0.345374196767807,0,0.0,0,0,0,0,0.7945542931556702,0.6703447103500366,1.0482250452041626,1.215384602546692
2,0.04,0.04698818176984787,-0.013799834996461868,0.15819621086120605,-0.04648035764694214,0.27301719784736633,-0.12519381940364838,0.23047614097595215,-0.637618899345398,-0.018545079976320267,0.5242352485656738,-1.9330207109451294,0.45198822021484375,-0.17721733450889587,0,0.02669239044189453,0,0,0,0,0.9700576663017273,0.9329782128334045,1.0333857536315918,1.51425039768219
3,0.06,0.04187416285276413,-0.011829828843474388,0.15504810214042664,-0.05907595157623291,0.2625786066055298,-0.2047681361436844,-0.05137382447719574,-0.6784321069717407,-0.0624973438680172,0.5239499807357788,-2.7294349670410156,0.38265228271484375,0.0068963742814958096,0,0.0956878662109375,0,0,0,0,0.953835129737854,1.1467831134796143,1.0675455331802368,1.426622748374939
4,0.08,0.03924884647130966,-0.010561622679233551,0.15310066938400269,0.027910348027944565,0.0813337117433548,-0.08320964127779007,-0.03526061773300171,1.8558149337768555,0.8546810746192932,0.3900599479675293,-1.417188286781311,0.9961700439453125,0.03820755332708359,1,0.20294952392578125,0,0,1,0,0.3491036593914032,1.05504310131073,0.1257791668176651,1.4165308475494385
5,0.1,0.036954764276742935,-0.009197413921356201,0.15232525765895844,-0.0233146995306015,0.18377341330051422,0.04298924282193184,-0.7865950465202332,1.6922590732574463,-0.7379462718963623,-0.25381454825401306,0.509446382522583,0.9226531982421875,-0.3499999940395355,2,0.32845306396484375,0,1,1,0,0.43464311957359314,0.03335738927125931,0.16307730972766876,1.1757733821868896
6,0.12,0.03399403393268585,-0.004739558324217796,0.15338297188282013,0.20660065114498138,0.29631730914115906,0.1975918859243393,0.22419597208499908,0.5043174028396606,0.5783662796020508,-0.6046253442764282,1.85683274269104,0.9658279418945312,0.3499999940395355,2,0.2391357421875,0,0,1,1,0.7073296904563904,0.14028997719287872,0.010003553703427315,0.08306923508644104
7,0.14,0.029265021905303,-5.3044408559799194e-05,0.15471768379211426,0.014622479677200317,0.3522615134716034,0.0007747386116534472,0.5296841859817505,-0.9973682761192322,-0.11551233381032944,-0.1373458057641983,1.3854260444641113,1.0929527282714844,-0.3499999940395355,1,0.2612457275390625,0,0,0,1,0.7466917037963867,1.3225111961364746,0.3240436315536499,0.6527286171913147
8,0.16,0.022680971771478653,0.0034545883536338806,0.15445296466350555,-0.03390209376811981,0.3840075135231018,-0.031020991504192352,-0.03675997257232666,-1.58970308303833,0.2082756608724594,0.08498068898916245,-0.17860522866249084,1.2619781494140625,0.06973937153816223,1,0.25244140625,0,0,0,1,1.0103192329406738,1.3768330812454224,1.0412870645523071,0.8229529857635498
9,0.18,0.015727514401078224,0.00677125621587038,0.15673133730888367,0.003316253423690796,0.3789790868759155,0.27922117710113525,0.5677744746208191,-0.07858824729919434,0.486510306596756,0.360505610704422,-0.9301592111587524,1.6773300170898438,-0.15823981165885925,2,0.224151611328125,0,0,1,1,0.9893878698348999,1.5006786584854126,0.0254015251994133,0.020865272730588913
10,0.2,0.009307758882641792,0.010289905592799187,0.16404712200164795,-0.01287241280078888,0.3537873327732086,0.35492587089538574,0.9473053216934204,-0.05984190106391907,-0.5687150359153748,1.2985252141952515,-0.9960304498672485,1.5313835144042969,-0.3499999940395355,2,0.3394012451171875,0,0,1,1,0.6695088148117065,1.0584664344787598,0.31446215510368347,0.22540172934532166
11,0.22,0.0036187265068292618,0.014886442571878433,0.1694888025522232,0.08210745453834534,0.36975330114364624,0.1741066426038742,0.9777727127075195,0.2511076033115387,0.7757161259651184,2.5240540504455566,-0.6604780554771423,1.9874458312988281,0.3499999940395355,2,0.43384552001953125,0,1,1,0,0.8532127737998962,0.10754452645778656,0.3097380995750427,0.6412884593009949
12,0.24,-0.005141502246260643,0.01890380308032036,0.17668993771076202,-0.05666148662567139,0.5573189854621887,0.3940977454185486,-0.19665879011154175,0.10874029248952866,-0.4824921488761902,2.6022324562072754,-0.5705800652503967,1.8832130432128906,-0.3499999940395355,2,0.1784820556640625,0,1,1,0,1.0302400588989258,0.025234026834368706,0.18736107647418976,1.591402292251587
13,0.26,-0.01372288353741169,0.023964159190654755,0.185054749250412,0.03881697356700897,0.48480671644210815,0.4181482195854187,-0.5438240766525269,0.31387603282928467,0.47898876667022705,2.128833532333374,-0.3055875599384308,2.0870094299316406,0.3204186260700226,2,0.1848907470703125,0,1,1,0,1.3173296451568604,0.3290553390979767,0.03486865758895874,1.447238564491272
14,0.28,-0.021172786131501198,0.030409440398216248,0.19199074804782867,0.13355323672294617,0.4877161383628845,0.31069621443748474,-0.48560717701911926,0.7970098853111267,-0.221282497048378,1.5632787942886353,0.3647881746292114,2.19000244140625,-0.3499999940395355,2,0.2152862548828125,0,1,1,0,1.3442354202270508,0.4112524390220642,0.2549631893634796,1.4809118509292603
15,0.3,-0.026911910623311996,0.036217160522937775,0.19413983821868896,0.10449818521738052,0.36102408170700073,0.03184768185019493,-0.22558239102363586,0.16269764304161072,0.17603424191474915,1.260443091392517,0.7973687648773193,2.292491912841797,0.1351623833179474,0,0.2545928955078125,0,0,0,0,1.0306016206741333,0.5973151922225952,1.5201369524002075,1.3013430833816528
16,0.32,-0.032623425126075745,0.041057828813791275,0.19236765801906586,0.04660508781671524,0.37267011404037476,-0.14962898194789886,-0.45204031467437744,0.2601620554924011,-0.1837911456823349,0.8534579873085022,1.060150146484375,2.2617835998535156,-0.14376431703567505,0,0.2938690185546875,0,0,0,0,1.0354344844818115,0.8893209099769592,1.646866798400879,1.1619198322296143
17,0.34,-0.038539089262485504,0.04589693248271942,0.1881764829158783,0.07121186703443527,0.3493095338344574,-0.16790586709976196,-0.6346238851547241,-1.8575506210327148,-0.0006844834424555302,0.19110457599163055,0.39630618691444397,2.266937255859375,0.10835456848144531,1,0.3218231201171875,0,0,0,1,0.5948460102081299,0.8697929978370667,1.5085844993591309,0.04970385506749153
18,0.36,-0.04593225568532944,0.05021856725215912,0.18315143883228302,-0.0638684332370758,0.4898771047592163,-0.28730708360671997,0.5209957957267761,-1.7642595767974854,-0.04144160449504852,0.2234967201948166,-1.4341161251068115,2.211902618408203,-0.019860589876770973,1,0.347808837890625,0,0,0,1,0.6492583751678467,1.269272804260254,1.5784897804260254,0.09478072822093964
19,0.38,-0.05493789166212082,0.05397435277700424,0.18054185807704926,-0.04201182723045349,0.4861394464969635,0.1061365008354187,-0.7767179012298584,0.21947963535785675,0.09170586615800858,0.14802537858486176,-2.2683959007263184,2.1652450561523438,0.009101660922169685,3,0.35129547119140625,1,0,1,1,0.023029865697026253,1.178640365600586,0.38799649477005005,0.18603619933128357
20,0.4,-0.06315135955810547,0.05765489488840103,0.18377874791622162,-0.019935131072998047,0.40666621923446655,0.27679020166397095,-0.4756595194339752,0.7316762804985046,0.007419175002723932,-0.5923274159431458,-1.653961420059204,2.204326629638672,-0.08373507112264633,2,0.4561614990234375,0,0,1,1,0.18746988475322723,1.2085047960281372,0.026736561208963394,0.49265503883361816
21,0.42,-0.07055739313364029,0.06210343539714813,0.18972741067409515,0.03995780646800995,0.443763792514801,0.34004488587379456,0.13487325608730316,0.5050678849220276,-0.05869869142770767,-0.7454030513763428,-0.9612358212471008,2.1519851684570312,-0.025041338056325912,2,0.49248504638671875,0,0,1,1,0.22741049528121948,1.3097949028015137,0.02677462436258793,0.03176667541265488
22,0.44,-0.07740695029497147,0.06628354638814926,0.19765615463256836,0.014860451221466064,0.35567471385002136,0.465332567691803,-0.0007568523287773132,0.19943083822727203,0.26457157731056213,-0.6374874711036682,-0.5926912426948547,2.2854843139648438,0.021652188152074814,3,0.493560791015625,1,0,1,1,0.16597571969032288,1.1075139045715332,0.061476144939661026,0.023982275277376175
23,0.46,-0.0838874876499176,0.06894195079803467,0.20679734647274017,-0.07682947814464569,0.3297172784805298,0.4750690460205078,0.10778433829545975,0.04582330957055092,-0.4085262715816498,-0.5729615688323975,-0.4636002779006958,2.125049591064453,-0.20568546652793884,3,0.49568939208984375,1,0,1,1,0.39283594489097595,0.7464994788169861,0.02416861616075039,0.018130702897906303
24,0.48,-0.09013806283473969,0.07112964242696762,0.21338507533073425,-0.017024502158164978,0.31235581636428833,0.22968308627605438,0.20585614442825317,0.8955634832382202,0.884759247303009,-0.3936562240123749,0.19631177186965942,2.5171890258789062,0.2667430639266968,1,0.4968223571777344,0,0,1,0,0.1060044914484024,0.11885078251361847,0.5548599362373352,0.3313729465007782
25,0.5,-0.09607157111167908,0.0740651786327362,0.21392323076725006,0.00997994840145111,0.3392132520675659,-0.10458020865917206,0.5979588031768799,1.126140832901001,-0.12886522710323334,0.19166333973407745,1.3242355585098267,2.8339881896972656,-0.3499999940395355,0,0.48920440673828125,0,0,0,0,0.6059582829475403,0.6260931491851807,0.5323355793952942,1.7632381916046143
26,0.52,-0.10109376907348633,0.0769486352801323,0.21111048758029938,0.02869322896003723,0.23578804731369019,-0.1662946194410324,0.22785362601280212,1.362566351890564,0.4352530837059021,0.6487689018249512,2.442347764968872,3.0176734924316406,0.06541238725185394,1,0.46709442138671875,0,0,1,0,0.4009040594100952,0.748833179473877,0.12259344756603241,1.7953159809112549
27,0.54,-0.10814934968948364,0.08066084235906601,0.21051277220249176,0.028266921639442444,0.4916270077228546,-0.004675764590501785,-0.03440692648291588,-0.10278806835412979,0.15204113721847534,0.5606068968772888,2.637249708175659,3.2619895935058594,-0.33091312646865845,2,0.4519195556640625,0,1,1,0,0.6938437819480896,0.018295086920261383,0.2522667944431305,1.6912658214569092
28,0.56,-0.11645226180553436,0.08682456612586975,0.21129441261291504,0.09879054129123688,0.5327869057655334,0.0900566354393959,-0.18140554428100586,-0.5755017995834351,-0.06435082107782364,0.46730518341064453,2.0725815296173096,3.3784713745117188,-0.13458362221717834,2,0.135406494140625,0,1,1,0,1.078609585762024,0.011619185097515583,0.0034606177359819412,1.3800197839736938
29,0.58,-0.12506887316703796,0.09527821838855743,0.213717982172966,0.22264926135540009,0.6144933700561523,0.19268395006656647,-0.5449166893959045,-0.03635510802268982,0.05689912289381027,0.017041927203536034,1.752224326133728,3.372028350830078,0.01597595401108265,2,0.19355010986328125,0,1,1,0,1.0311096906661987,0.013516032136976719,0.011537757702171803,1.3895320892333984
30,0.6,-0.13296645879745483,0.10522547364234924,0.21473047137260437,0.25464439392089844,0.5561357736587524,-0.00824852753430605,-0.42019394040107727,0.731514573097229,0.007623642683029175,-0.530981183052063,2.2881758213043213,3.4092864990234375,-0.06884852051734924,0,0.2454376220703125,0,0,0,0,0.9519355893135071,0.5453064441680908,0.5766712427139282,1.242469310760498
31,0.62,-0.13885605335235596,0.11176791787147522,0.2125198245048523,0.09801803529262543,0.3648127317428589,-0.12399192154407501,-0.49918684363365173,-0.7196763753890991,-0.34734660387039185,-1.0960814952850342,1.8231176137924194,3.2295455932617188,-0.03464831784367561,1,0.2750396728515625,0,0,0,1,0.5387416481971741,1.172297477722168,1.6849395036697388,0.050719838589429855
32,0.64,-0.14509037137031555,0.11679801344871521,0.20810355246067047,0.05711451172828674,0.43405449390411377,-0.23716016113758087,0.1047709584236145,-1.4663599729537964,0.2488415390253067,-1.3369369506835938,0.550421953201294,3.211132049560547,0.21524260938167572,1,0.294219970703125,0,0,0,1,0.5704256296157837,1.406829833984375,1.692226767539978,0.03431156277656555
33,0.66,-0.1532713770866394,0.12128610908985138,0.2016073614358902,-0.04268006980419159,0.5047035813331604,-0.3760288953781128,0.5011379718780518,-2.4456701278686523,-0.3028722405433655,-0.9654592275619507,-1.7535938024520874,3.1410675048828125,-0.2019444704055786,1,0.309661865234375,0,0,0,1,0.9535367488861084,1.4626617431640625,2.036895275115967,0.047165561467409134
34,0.68,-0.16271820664405823,0.12644346058368683,0.19978155195713043,0.00940588116645813,0.5206372737884521,0.06820224225521088,-0.9022817611694336,0.2238200604915619,0.5318892002105713,-1.7484959363937378,-2.1813368797302246,3.2405014038085938,0.18480545282363892,3,0.3406105041503906,1,0,1,1,0.011414390988647938,1.2460330724716187,0.9481979012489319,0.021076450124382973
35,0.7000000000000001,-0.17269301414489746,0.13092264533042908,0.20138822495937347,-0.043304651975631714,0.5555545687675476,0.18032462894916534,-0.5225988626480103,0.5007535815238953,0.22809910774230957,-2.634943962097168,-1.6490830183029175,3.610492706298828,-0.3499999940395355,2,0.4303779602050781,0,0,1,1,0.7178595662117004,1.0116475820541382,0.032442379742860794,0.020903564989566803
36,0.72,-0.1830650269985199,0.13540303707122803,0.2050362527370453,-0.03489312529563904,0.5487673878669739,0.28376227617263794,-0.06447149813175201,0.36886000633239746,-0.07776845246553421,-2.9108359813690186,-1.143384575843811,3.6513900756835938,-0.19056139886379242,3,0.4617042541503906,1,0,1,1,0.42804574966430664,0.786467969417572,0.03615913167595863,0.050061363726854324
37,0.74,-0.19180047512054443,0.139702707529068,0.21137428283691406,0.025057941675186157,0.4118126332759857,0.40641993284225464,-0.051571592688560486,0.2919979691505432,0.3753214180469513,-3.0416197776794434,-0.7377411723136902,3.8507308959960938,0.023224730044603348,3,0.4604759216308594,1,0,1,1,0.5651981830596924,0.6413073539733887,0.04243035241961479,0.04195410758256912
38,0.76,-0.19965951144695282,0.14346401393413544,0.2190956473350525,-0.04551544785499573,0.4202757179737091,0.4137597680091858,0.2674129903316498,0.16243761777877808,-0.467825323343277,-2.960606098175049,-0.44568827748298645,3.7315101623535156,-0.29550373554229736,3,0.464202880859375,1,0,1,1,0.6317945718765259,0.582608699798584,0.030671795830130577,0.06086668744683266
39,0.78,-0.20664770901203156,0.14692899584770203,0.2248752862215042,0.04044634848833084,0.3378189206123352,0.20922638475894928,0.1787194311618805,1.0115809440612793,0.897061824798584,-2.829850196838379,0.3818081319332123,4.0585784912109375,0.29563528299331665,2,0.4717216491699219,1,0,1,0,0.4607411324977875,0.7064827680587769,0.5922807455062866,0.431616872549057
40,0.8,-0.2130071222782135,0.15049228072166443,0.22453077137470245,0.019751548767089844,0.38239094614982605,-0.13944491744041443,0.7340741157531738,1.432525634765625,-0.040457360446453094,-2.142306327819824,1.7687780857086182,4.418159484863281,-0.3499999940395355,0,0.47853851318359375,0,0,0,0,0.3271435499191284,0.4373483657836914,0.31629493832588196,1.638792872428894
41,0.8200000000000001,-0.21872037649154663,0.15402831137180328,0.22069048881530762,0.06338578462600708,0.29610976576805115,-0.2045997679233551,0.30476632714271545,1.5300625562667847,0.42572376132011414,-1.5503262281417847,3.266939163208008,4.599891662597656,-0.008915238082408905,1,0.47090911865234375,0,0,1,0,0.3148851692676544,1.0292391777038574,0.2296130657196045,1.897021770477295
42,0.84,-0.22592207789421082,0.15858328342437744,0.21818003058433533,0.08151111006736755,0.5119777321815491,-0.08064617216587067,-0.06861282885074615,-0.43210116028785706,0.33607909083366394,-1.5911741256713867,3.3389272689819336,5.016204833984375,-0.33666932582855225,2,0.463409423828125,0,1,1,0,0.6307284235954285,0.015961797907948494,0.32750141620635986,1.662718415260315
43,0.86,-0.23426537215709686,0.1647111177444458,0.21609781682491302,0.09653833508491516,0.5221505165100098,-0.0597904697060585,-0.2563369870185852,-0.6773048639297485,-0.16754910349845886,-1.7753733396530151,2.557701587677002,5.205810546875,-0.2771877646446228,2,0.10617828369140625,0,1,1,0,1.1330770254135132,0.016424234956502914,0.1320592612028122,1.220285177230835
44,0.88,-0.24335837364196777,0.1722288280725479,0.2143486738204956,0.17409485578536987,0.6156078577041626,-0.017303168773651123,-0.3904668986797333,-0.23637878894805908,0.15537452697753906,-2.1306405067443848,2.021822929382324,5.215877532958984,0.07386273145675659,2,0.17826080322265625,0,1,1,0,1.0654937028884888,0.012151990085840225,0.006729497574269772,0.9474130868911743
45,0.9,-0.2511249780654907,0.17976632714271545,0.21737204492092133,0.18022924661636353,0.4822527766227722,0.2957203686237335,0.10092204809188843,-0.5405177474021912,-0.44667673110961914,-2.325746774673462,1.1937074661254883,4.960704803466797,-0.1522628664970398,3,0.2514190673828125,0,1,1,1,1.2152493000030518,0.6113529801368713,0.010837938636541367,0.06742583215236664
46,0.92,-0.25781357288360596,0.18551842868328094,0.22056502103805542,0.05115771293640137,0.40114858746528625,0.1402636468410492,0.7249690890312195,-0.7114693522453308,0.4754369258880615,-1.7226225137710571,0.49498432874679565,5.114814758300781,0.27117720246315,1,0.294769287109375,0,0,0,1,0.9159488677978516,0.3177463114261627,1.7299087047576904,0.03651653230190277
47,0.9400000000000001,-0.26529383659362793,0.1883513629436493,0.22181303799152374,-0.11366276443004608,0.39541974663734436,-0.016588879749178886,0.8969488739967346,-1.1264363527297974,-0.5006648898124695,-0.7922122478485107,-0.6037452816963196,5.036369323730469,-0.3499999940395355,1,0.315948486328125,0,0,0,1,0.4533136785030365,1.1862437725067139,2.095757246017456,0.023864882066845894
48,0.96,-0.2726348638534546,0.19079376757144928,0.22037076950073242,0.034556612372398376,0.3821113109588623,-0.015702227130532265,-0.18312588334083557,-0.8013800978660583,0.8780800104141235,0.033025339245796204,-2.0283515453338623,5.21356201171875,0.30837470293045044,2,0.3127593994140625,1,0,0,1,0.18282867968082428,0.8495966196060181,1.1686592102050781,0.06024077907204628
49,0.98,-0.2804515063762665,0.1936570554971695,0.21879632771015167,-0.09162169694900513,0.45118412375450134,-0.06567695736885071,-0.37040039896965027,-0.05507814884185791,-0.2554742991924286,-0.27219077944755554,-2.4414777755737305,5.482002258300781,-0.3499999940395355,2,0.2233428955078125,1,0,0,1,0.3769129812717438,1.1659753322601318,1.6080960035324097,0.021905172616243362
50,1.0,-0.28876176476478577,0.19671641290187836,0.2173021286725998,-0.013276457786560059,0.43894141912460327,-0.030914587900042534,-0.7302283048629761,-0.15464675426483154,0.30562931299209595,-0.9081934690475464,-2.3741090297698975,5.527091979980469,0.133241206407547,2,0.33556365966796875,1,0,0,1,0.3055535852909088,1.3569083213806152,1.1318490505218506,0.009563839994370937
51,1.02,-0.2968975901603699,0.1998254954814911,0.21508406102657318,-0.049538373947143555,0.43340715765953064,-0.06307482719421387,-0.8377242684364319,-0.023691028356552124,0.12213277071714401,-1.8293999433517456,-2.703239679336548,5.7388153076171875,-0.2598854601383209,3,0.43065643310546875,1,0,1,1,0.1402130424976349,1.3345017433166504,0.6963979601860046,0.08394468575716019
52,1.04,-0.3042087256908417,0.2035183161497116,0.2151108980178833,0.015209197998046875,0.42950183153152466,0.08148816972970963,-0.7198881506919861,0.6517916321754456,0.1957671195268631,-2.7654197216033936,-1.9387503862380981,5.95001220703125,-0.1331007480621338,3,0.47165679931640625,1,0,1,1,0.7007978558540344,1.1031639575958252,0.03324514627456665,0.04719569534063339
53,1.06,-0.3117351830005646,0.2072727382183075,0.21627868711948395,0.018752768635749817,0.41163843870162964,0.1342690885066986,-0.284619003534317,0.42835330963134766,0.15539196133613586,-3.387526035308838,-1.206124186515808,6.106964111328125,-0.18630346655845642,3,0.468536376953125,1,0,1,1,1.0081368684768677,0.8199875354766846,0.05586239695549011,0.0867014229297638
54,1.08,-0.3186204135417938,0.21077017486095428,0.21870853006839752,0.02265942096710205,0.3612104058265686,0.17543011903762817,0.10993257910013199,0.10650674253702164,0.08659644424915314,-3.5845022201538086,-0.8012071251869202,6.221771240234375,-0.15927360951900482,3,0.4686851501464844,1,0,1,1,0.9347265362739563,0.5909345746040344,0.04551726579666138,0.07062377780675888
55,1.1,-0.32507967948913574,0.21404778957366943,0.2214951068162918,0.01940833032131195,0.35436248779296875,0.13698741793632507,0.9152994155883789,-0.17660009860992432,0.1709163635969162,-2.994706630706787,-0.8608306050300598,6.39013671875,-0.11201833933591843,3,0.4741058349609375,1,0,1,1,0.5386906862258911,0.6315938234329224,0.01871536672115326,0.025196194648742676
56,1.12,-0.3318834900856018,0.21802552044391632,0.2218034863471985,0.04620032012462616,0.4164069890975952,-0.05408231541514397,1.119585633277893,1.1505157947540283,-0.06128069758415222,-1.8169524669647217,-0.09703082591295242,6.399322509765625,-0.17236477136611938,1,0.4850578308105469,0,0,1,0,0.5114762783050537,0.9452111721038818,0.017682911828160286,1.1568602323532104
57,1.1400000000000001,-0.33834630250930786,0.2230958193540573,0.21988600492477417,0.07753728330135345,0.4358680248260498,-0.04033846780657768,0.3141181170940399,-0.13883720338344574,0.6967278122901917,-0.7537757754325867,0.7695478200912476,6.850730895996094,-0.009898774325847626,2,0.4956169128417969,0,1,1,0,0.5843454003334045,0.06434531509876251,0.05084424838423729,1.769896388053894
